('v',) 429
('n',) 383
('r',) 179
('d',) 141
('uj',) 125
('a',) 91
('ns',) 86
('p',) 82
('m',) 73
('ul',) 58
('c',) 52
('t',) 39
('f',) 36
('zg',) 31
('s',) 31
('i',) 28
('nr',) 25
('j',) 24
('uv',) 20
('q',) 16
('y',) 15
('l',) 13
('z',) 8
('b',) 6
('yg',) 6
('u',) 6
('ud',) 5
('ad',) 4
('mq',) 4
('vn',) 4
('ng',) 3
('nz',) 3
('ug',) 2
('vg',) 2
('x',) 2
('an',) 1
('o',) 1
('eng',) 1
('tg',) 1
