('v',) 695
('n',) 489
('r',) 237
('d',) 231
('uj',) 176
('a',) 174
('p',) 112
('nr',) 95
('m',) 77
('c',) 77
('j',) 63
('ul',) 60
('f',) 51
('zg',) 46
('ns',) 38
('t',) 37
('l',) 37
('y',) 36
('i',) 33
('uv',) 31
('s',) 29
('q',) 19
('vn',) 15
('z',) 11
('ad',) 10
('o',) 10
('ng',) 10
('b',) 9
('yg',) 6
('u',) 6
('nz',) 6
('df',) 5
('an',) 5
('k',) 4
('ud',) 4
('ug',) 2
('rr',) 2
('nrt',) 2
('vg',) 2
('nrfg',) 1
('mq',) 1
('e',) 1
('h',) 1
('x',) 1
