('v',) 1655
('n',) 1552
('uj',) 581
('d',) 568
('nr',) 368
('r',) 353
('a',) 242
('m',) 212
('p',) 205
('c',) 188
('ul',) 139
('ns',) 126
('zg',) 120
('f',) 105
('i',) 87
('l',) 77
('s',) 74
('y',) 68
('t',) 56
('z',) 54
('vn',) 43
('q',) 38
('nrt',) 38
('ad',) 33
('uv',) 27
('nz',) 24
('b',) 21
('ug',) 20
('u',) 20
('o',) 13
('ng',) 12
('yg',) 11
('ud',) 11
('x',) 9
('e',) 8
('j',) 5
('mq',) 5
('an',) 4
('vg',) 4
('df',) 1
('rr',) 1
('k',) 1
('dg',) 1
('g',) 1
('',) 1
('tg',) 1
