('v',) 679
('n',) 595
('d',) 272
('r',) 239
('uj',) 200
('a',) 182
('p',) 111
('m',) 106
('c',) 77
('ul',) 61
('nr',) 57
('zg',) 54
('ns',) 48
('t',) 48
('l',) 46
('f',) 45
('j',) 44
('i',) 43
('s',) 34
('q',) 27
('uv',) 22
('y',) 21
('z',) 14
('nz',) 14
('b',) 13
('ng',) 13
('ad',) 10
('vn',) 10
('ud',) 9
('u',) 8
('o',) 8
('ug',) 5
('nrt',) 4
('g',) 4
('nt',) 3
('yg',) 2
('mq',) 2
('an',) 2
('k',) 2
('df',) 1
('vg',) 1
('eng',) 1
