('n',) 398
('v',) 391
('r',) 193
('uj',) 146
('d',) 144
('m',) 68
('a',) 62
('p',) 59
('ul',) 41
('c',) 39
('zg',) 36
('f',) 28
('l',) 26
('i',) 23
('nr',) 21
('ns',) 20
('uv',) 19
('s',) 18
('q',) 16
('t',) 13
('z',) 10
('y',) 10
('nz',) 7
('b',) 6
('yg',) 5
('ug',) 4
('u',) 4
('vg',) 4
('o',) 4
('vn',) 4
('k',) 3
('ud',) 3
('nrt',) 2
('ad',) 2
('g',) 2
('j',) 1
('e',) 1
('',) 1
