('v',) 573
('n',) 419
('r',) 209
('d',) 200
('uj',) 146
('m',) 98
('a',) 81
('p',) 78
('c',) 73
('ul',) 54
('nr',) 43
('zg',) 39
('l',) 39
('f',) 34
('uv',) 27
('y',) 27
('i',) 26
('b',) 21
('nz',) 20
('vn',) 17
('t',) 17
('q',) 16
('x',) 16
('ad',) 14
('s',) 13
('z',) 12
('ag',) 12
('u',) 11
('ud',) 11
('ns',) 10
('ug',) 9
('j',) 6
('yg',) 5
('nrt',) 5
('ng',) 5
('an',) 4
('nt',) 4
('df',) 3
('mq',) 2
('o',) 2
('nrfg',) 1
('rr',) 1
('vg',) 1
('eng',) 1
('vd',) 1
