('v',) 586
('n',) 465
('r',) 231
('d',) 220
('uj',) 169
('nr',) 113
('a',) 105
('p',) 87
('c',) 80
('m',) 78
('f',) 64
('ul',) 48
('j',) 45
('zg',) 41
('l',) 38
('i',) 33
('b',) 31
('ns',) 29
('s',) 29
('t',) 26
('y',) 24
('uv',) 23
('q',) 22
('nz',) 15
('z',) 13
('vn',) 10
('ud',) 9
('u',) 8
('ad',) 6
('ng',) 6
('ug',) 5
('df',) 4
('yg',) 3
('mq',) 3
('o',) 2
('x',) 2
('nrt',) 1
('k',) 1
('vg',) 1
('e',) 1
