('v',) 507
('n',) 448
('d',) 197
('r',) 182
('uj',) 174
('a',) 110
('m',) 101
('p',) 91
('ns',) 71
('ul',) 71
('nr',) 68
('f',) 63
('c',) 60
('i',) 33
('l',) 33
('y',) 29
('zg',) 28
('s',) 27
('t',) 26
('vn',) 19
('j',) 19
('q',) 14
('ng',) 9
('b',) 7
('uv',) 7
('z',) 7
('nz',) 7
('ad',) 6
('o',) 6
('ug',) 5
('yg',) 5
('x',) 5
('u',) 4
('vg',) 3
('ud',) 3
('e',) 3
('df',) 2
('mq',) 2
('rr',) 1
('nrt',) 1
('nt',) 1
('eng',) 1
