('v',) 644
('n',) 560
('d',) 216
('r',) 203
('uj',) 175
('a',) 163
('m',) 122
('p',) 103
('nr',) 78
('c',) 74
('ul',) 66
('f',) 58
('zg',) 40
('ns',) 37
('i',) 32
('t',) 32
('x',) 32
('eng',) 31
('j',) 30
('s',) 24
('y',) 24
('l',) 22
('uv',) 20
('ng',) 20
('b',) 17
('o',) 15
('z',) 15
('q',) 14
('nz',) 13
('u',) 12
('vn',) 12
('ud',) 10
('ad',) 9
('vg',) 6
('an',) 5
('ug',) 3
('yg',) 3
('mq',) 3
('e',) 3
('nrt',) 2
('g',) 2
('nt',) 1
('tg',) 1
