('n', 'd', 'v') 41
('j', 'a', 'a') 37
('n', 'uj', 'n') 34
('uj', 'n', 'v') 28
('v', 'uj', 'n') 24
('n', 'v', 'n') 24
('r', 'd', 'v') 24
('d', 'v', 'n') 23
('v', 'v', 'n') 23
('d', 'v', 'v') 23
('v', 'n', 'v') 22
('v', 'n', 'uj') 20
('uj', 'n', 'n') 19
('n', 'v', 'v') 18
('d', 'v', 'ul') 18
('uj', 'n', 'd') 18
('d', 'd', 'v') 17
('v', 'v', 'v') 16
('v', 'v', 'r') 15
('r', 'uj', 'n') 15
('r', 'v', 'v') 14
('v', 'r', 'n') 14
('v', 'm', 'n') 13
('v', 'r', 'v') 13
('d', 'v', 'p') 13
('a', 'uj', 'n') 12
('n', 'n', 'v') 12
('n', 'd', 'd') 11
('a', 'a', 'v') 11
('d', 'v', 'm') 11
('n', 'v', 'd') 10
('a', 'a', 'uj') 10
('v', 'n', 'n') 10
('v', 'n', 'd') 10
('v', 'r', 'd') 10
('n', 'n', 'n') 9
('n', 'v', 'r') 9
('v', 'p', 'n') 9
('n', 'p', 'n') 9
('r', 'v', 'r') 9
('m', 'n', 'v') 9
('n', 'v', 'ul') 9
('d', 'v', 'r') 9
('n', 'f', 'v') 8
('v', 'd', 'v') 8
('r', 'm', 'n') 8
('s', 'uj', 'n') 8
('v', 'ul', 'v') 8
('p', 'n', 'v') 8
('v', 'p', 's') 8
('r', 'n', 'v') 8
('a', 'a', 'd') 8
('v', 'j', 'a') 7
('v', 'ul', 'm') 7
('v', 'n', 'f') 7
('a', 'v', 'r') 7
('n', 'v', 'uj') 7
('n', 'n', 'd') 7
('c', 'r', 'v') 7
('v', 'n', 'c') 7
('v', 'ul', 'n') 6
('n', 'd', 'a') 6
('n', 'r', 'd') 6
('v', 'ns', 'uj') 6
('nr', 'n', 'v') 6
('d', 'a', 'n') 6
('r', 'v', 'uj') 6
('uj', 'v', 'n') 6
('r', 'd', 'd') 6
('r', 'n', 'uj') 6
('d', 'p', 'v') 6
('v', 'r', 'uj') 6
('v', 'n', 'p') 6
('v', 'n', 'zg') 5
('n', 'v', 'zg') 5
('n', 'r', 'v') 5
('r', 'v', 'n') 5
('a', 'n', 'n') 5
('v', 'uv', 'v') 5
('l', 'n', 'd') 5
('n', 'n', 'uj') 5
('d', 'n', 'v') 5
('v', 'c', 'r') 5
('n', 'm', 'n') 5
('m', 'n', 'n') 5
('uj', 'n', 'a') 5
('n', 'p', 'r') 5
('n', 'd', 'n') 5
('m', 'n', 'd') 5
('v', 'v', 'm') 5
('p', 'v', 'uj') 5
('a', 'n', 'v') 5
('a', 'd', 'v') 5
('n', 'i', 'v') 5
('n', 'c', 'n') 5
('v', 'ul', 'r') 5
('n', 'f', 'uj') 5
('r', 'v', 'p') 5
('f', 'uj', 'n') 5
('r', 'n', 'r') 5
('uj', 'n', 'p') 5
('v', 'r', 'm') 5
('nr', 'uj', 'n') 5
('v', 's', 'uj') 5
('m', 'd', 'd') 5
('uj', 'a', 'n') 5
('v', 'v', 'p') 4
('d', 'd', 'a') 4
('v', 'p', 'ns') 4
('r', 'n', 'n') 4
('n', 'p', 'v') 4
('n', 'v', 't') 4
('v', 'ul', 't') 4
('v', 'd', 'd') 4
('a', 'v', 'n') 4
('uj', 'n', 'c') 4
('r', 'r', 'n') 4
('i', 'uv', 'v') 4
('v', 'a', 'v') 4
('ns', 'v', 'n') 4
('n', 'v', 'p') 4
('v', 'p', 'r') 4
('p', 'r', 'v') 4
('zg', 'm', 'n') 4
('a', 'v', 'm') 4
('uj', 'n', 'f') 4
('o', 'o', 'o') 4
('d', 'v', 'c') 4
('ns', 'uj', 'n') 4
('d', 'p', 's') 4
('r', 'v', 'ul') 4
('nr', 'n', 'd') 4
('a', 'v', 'v') 4
('n', 'n', 'r') 4
('ul', 'm', 'n') 4
('c', 'v', 'n') 4
('n', 'a', 'v') 4
('v', 'v', 'ns') 4
('n', 'c', 'r') 4
('uv', 'v', 'n') 4
('r', 'r', 'r') 4
('v', 'v', 'ul') 4
('n', 'n', 'f') 4
('r', 'm', 'v') 4
('ns', 'd', 'v') 4
('v', 'v', 'uj') 4
('d', 'v', 'uj') 4
('m', 'n', 'uj') 4
('v', 'r', 'r') 4
('a', 'uv', 'v') 4
('r', 'c', 'v') 4
('v', 'uj', 'ns') 3
('a', 'uj', 'a') 3
('a', 'd', 'n') 3
('p', 'r', 'n') 3
('v', 'n', 'r') 3
('n', 'q', 'p') 3
('p', 'j', 'a') 3
('n', 'v', 'a') 3
('l', 'v', 'n') 3
('f', 'v', 'n') 3
('n', 'n', 'z') 3
('uj', 'v', 'v') 3
('c', 'n', 'd') 3
('c', 'r', 'd') 3
('c', 'v', 'v') 3
('n', 'c', 'v') 3
('a', 'v', 'ul') 3
('a', 'a', 'i') 3
('n', 'n', 'y') 3
('l', 'n', 'v') 3
('n', 'ns', 'v') 3
('n', 'uj', 'r') 3
('a', 'd', 'a') 3
('nr', 'n', 'i') 3
('zg', 'n', 'f') 3
('d', 'd', 'r') 3
('p', 'n', 'uj') 3
('uv', 'v', 'v') 3
('c', 'p', 'r') 3
('n', 'uj', 'v') 3
('zg', 'n', 'v') 3
('p', 'n', 'd') 3
('i', 'uj', 'n') 3
('d', 'd', 'p') 3
('p', 'n', 'p') 3
('f', 'd', 'v') 3
('d', 'n', 'uj') 3
('r', 'n', 'd') 3
('p', 'v', 'r') 3
('v', 'ud', 'd') 3
('r', 'r', 'd') 3
('p', 's', 'v') 3
('d', 'v', 'ug') 3
('v', 'm', 'v') 3
('v', 'r', 'p') 3
('uj', 'n', 'm') 3
('n', 'r', 'n') 3
('m', 'd', 'v') 3
('d', 'd', 'n') 3
('c', 'p', 'n') 3
('v', 'uj', 'v') 3
('d', 'v', 'i') 3
('n', 'v', 'l') 3
('uj', 'n', 'zg') 3
('m', 'n', 'ul') 3
('n', 'd', 'p') 3
('n', 'v', 'c') 3
('n', 'v', 'ud') 3
('v', 'v', 'a') 3
('uj', 'n', 'r') 3
('uj', 'm', 'n') 3
('ud', 'd', 'v') 3
