('n', 'uj', 'n') 27
('n', 'd', 'v') 22
('d', 'v', 'v') 21
('v', 'v', 'v') 19
('uj', 'n', 'v') 18
('n', 'v', 'n') 18
('d', 'd', 'v') 17
('r', 'd', 'v') 17
('v', 'ul', 'm') 16
('uj', 'n', 'd') 16
('j', 'a', 'a') 15
('n', 'v', 'v') 13
('v', 'v', 'n') 13
('n', 'v', 'ul') 13
('d', 'v', 'ul') 13
('r', 'uj', 'n') 13
('uj', 'n', 'n') 12
('v', 'd', 'v') 12
('n', 'n', 'v') 12
('n', 'd', 'd') 11
('v', 'r', 'v') 11
('v', 'n', 'v') 11
('r', 'v', 'v') 11
('ns', 'uj', 'n') 11
('r', 'n', 'v') 11
('v', 'n', 'd') 11
('n', 'v', 'uj') 10
('d', 'v', 'n') 10
('n', 'f', 'v') 9
('v', 'n', 'uj') 9
('d', 'v', 'a') 9
('p', 'n', 'f') 9
('n', 'f', 'uj') 9
('v', 'm', 'n') 8
('uj', 'n', 'c') 8
('d', 'v', 'p') 8
('v', 'v', 'r') 8
('v', 'p', 'n') 8
('r', 'v', 'r') 8
('ul', 'm', 'n') 8
('ns', 'n', 'v') 8
('v', 'r', 'n') 8
('d', 'v', 'r') 8
('v', 'nr', 'n') 7
('v', 'uj', 'n') 7
('nr', 'n', 'v') 7
('v', 'v', 'd') 7
('i', 'uj', 'n') 7
('p', 'n', 'v') 7
('nr', 'n', 'd') 7
('uj', 'nr', 'n') 7
('n', 'd', 'p') 7
('f', 'uj', 'n') 7
('v', 'r', 'm') 7
('r', 'v', 'ul') 7
('n', 'r', 'd') 6
('d', 'v', 'ns') 6
('v', 'n', 'f') 6
('m', 'v', 'n') 6
('n', 'v', 'p') 6
('n', 'n', 'n') 6
('d', 'p', 'n') 6
('d', 'v', 'd') 6
('p', 'r', 'v') 6
('a', 'uj', 'n') 6
('n', 'v', 'r') 6
('v', 'ul', 'v') 6
('v', 'n', 'p') 6
('uj', 'v', 'n') 6
('v', 'a', 'n') 6
('v', 'n', 'n') 6
('n', 'n', 'f') 6
('uj', 'n', 'p') 6
('m', 'n', 'uj') 6
('v', 'r', 'uj') 6
('v', 'j', 'a') 5
('v', 'ul', 'n') 5
('v', 'a', 'uj') 5
('n', 'p', 'v') 5
('c', 'd', 'v') 5
('uj', 'n', 'nr') 5
('t', 'd', 'v') 5
('v', 'p', 's') 5
('uj', 'n', 'a') 5
('r', 'm', 'n') 5
('v', 'd', 'a') 5
('n', 'v', 'm') 5
('v', 'ul', 'r') 5
('n', 'c', 'r') 5
('n', 'r', 'n') 5
('n', 'p', 'n') 5
('m', 'n', 'v') 5
('m', 'd', 'v') 5
('a', 'n', 'uj') 5
('r', 'n', 'r') 5
('v', 'v', 'p') 4
('v', 'n', 'a') 4
('nr', 'n', 'uj') 4
('a', 'uj', 'nr') 4
('v', 'p', 'nr') 4
('f', 'v', 'ul') 4
('v', 'n', 'ns') 4
('v', 'ns', 'uj') 4
('m', 'i', 'uj') 4
