('n', 'd', 'v') 20
('d', 'v', 'v') 17
('r', 'd', 'v') 17
('n', 'uj', 'n') 16
('uj', 'n', 'v') 16
('v', 'v', 'v') 16
('v', 'v', 'n') 14
('v', 'r', 'n') 13
('r', 'uj', 'n') 13
('uj', 'n', 'n') 12
('v', 'n', 'uj') 12
('n', 'n', 'v') 12
('d', 'v', 'ul') 11
('n', 'v', 'n') 11
('n', 'v', 'v') 10
('v', 'n', 'v') 10
('d', 'v', 'n') 10
('v', 'uj', 'n') 9
('v', 'd', 'v') 9
('j', 'a', 'v') 9
('ns', 'uj', 'n') 9
('uj', 'n', 'd') 8
('v', 'p', 'n') 8
('v', 'n', 'n') 8
('ns', 'n', 'v') 8
('v', 'ul', 'm') 7
('v', 'ns', 'n') 7
('v', 'v', 'r') 7
('n', 'v', 'ul') 7
('d', 'p', 'v') 7
('a', 'uv', 'v') 7
('v', 'n', 'r') 6
('p', 'v', 'ul') 6
('v', 'ns', 'uj') 6
('uv', 'v', 'n') 6
('n', 'v', 'r') 6
('a', 'uj', 'n') 6
('p', 'n', 'f') 6
('p', 'n', 'n') 5
('r', 'm', 'n') 5
('d', 'v', 'm') 5
('s', 'uj', 'n') 5
('r', 'n', 'd') 5
('r', 'n', 't') 5
('p', 'n', 'v') 5
('v', 'p', 's') 5
('p', 's', 'v') 5
('n', 'r', 'n') 5
('a', 'v', 'v') 5
('v', 'v', 'uj') 5
('n', 'n', 'uj') 5
('v', 'v', 'ns') 5
('n', 'f', 'uj') 5
('n', 'n', 'f') 5
('ns', 'd', 'v') 5
('d', 'v', 'uj') 5
('v', 'v', 'p') 4
('v', 'j', 'a') 4
('p', 'v', 'n') 4
('n', 'f', 'v') 4
('v', 'm', 'n') 4
('d', 'd', 'v') 4
('v', 'c', 'ns') 4
('n', 'p', 'v') 4
('n', 'v', 'a') 4
('v', 'p', 'v') 4
('c', 'ns', 'n') 4
('n', 'v', 'd') 4
('v', 'r', 'v') 4
('zg', 'n', 'v') 4
('n', 'p', 'r') 4
('v', 'zg', 'n') 4
('v', 'v', 'd') 4
('n', 't', 'v') 4
('n', 'v', 'p') 4
('i', 'uj', 'n') 4
('r', 'v', 'v') 4
('n', 'uj', 'v') 4
('v', 'ul', 'v') 4
('ul', 'm', 'n') 4
('m', 'uj', 'n') 4
