File name: ../wordfreq/cityup/1.txt
沒有 47/3859 = 0.0121793210676
會 47/3859 = 0.0121793210676
世界 47/3859 = 0.0121793210676
什麼 43/3859 = 0.0111427831044
說 42/3859 = 0.0108836486136
知道 40/3859 = 0.010365379632
吧 36/3859 = 0.00932884166883
這 33/3859 = 0.00855143819642
這裏 33/3859 = 0.00855143819642
因為 32/3859 = 0.00829230370562
可以 32/3859 = 0.00829230370562
到 30/3859 = 0.00777403472402
裏 30/3859 = 0.00777403472402
做 30/3859 = 0.00777403472402
人 30/3859 = 0.00777403472402
要 26/3859 = 0.00673749676082
後 26/3859 = 0.00673749676082
一樣 25/3859 = 0.00647836227002
那 25/3859 = 0.00647836227002
File name: ../wordfreq/9knife/3.txt
的 3172/23996 = 0.132188698116
我 2008/23996 = 0.0836806134356
了 1014/23996 = 0.0422570428405
老師 667/23996 = 0.0277962993832
在 624/23996 = 0.0260043340557
說 618/23996 = 0.0257542923821
也 487/23996 = 0.0202950491749
你 444/23996 = 0.0185030838473
我們 422/23996 = 0.0175862643774
就 377/23996 = 0.0157109518253
不 314/23996 = 0.0130855142524
跟 295/23996 = 0.0122937156193
地 281/23996 = 0.0117102850475
有 254/23996 = 0.0105850975163
人 233/23996 = 0.00970995165861
沒有 228/23996 = 0.00950158359727
都 224/23996 = 0.00933488914819
很 217/23996 = 0.00904317386231
那 211/23996 = 0.0087931321887
會 206/23996 = 0.00858476412735
這 201/23996 = 0.00837639606601
吧 184/23996 = 0.00766794465744
什麼 170/23996 = 0.00708451408568
小 160/23996 = 0.00666777796299
還 160/23996 = 0.00666777796299
裏 159/23996 = 0.00662610435073
上 157/23996 = 0.00654275712619
要 152/23996 = 0.00633438906484
到 145/23996 = 0.00604267377896
你們 138/23996 = 0.00575095849308
File name: ../wordfreq/9knife/4.txt
的 800/4439 = 0.180220770444
我 292/4439 = 0.065780581212
了 235/4439 = 0.0529398513179
你 131/4439 = 0.0295111511602
在 128/4439 = 0.028835323271
說 123/4439 = 0.0277089434557
也 109/4439 = 0.024555079973
就 87/4439 = 0.0195990087858
我們 85/4439 = 0.0191484568597
人 76/4439 = 0.0171209731922
醫生 76/4439 = 0.0171209731922
地 71/4439 = 0.0159945933769
跟 68/4439 = 0.0153187654877
都 64/4439 = 0.0144176616355
有 61/4439 = 0.0137418337463
不 60/4439 = 0.0135165577833
催眠 47/4439 = 0.0105879702636
大 46/4439 = 0.0103626943005
這 45/4439 = 0.0101374183375
裏 43/4439 = 0.00968686641135
自己 43/4439 = 0.00968686641135
上 42/4439 = 0.0094615904483
想 38/4439 = 0.00856048659608
吧 38/4439 = 0.00856048659608
沒有 37/4439 = 0.00833521063303
又 36/4439 = 0.00810993466997
什麼 35/4439 = 0.00788465870692
會 35/4439 = 0.00788465870692
很 35/4439 = 0.00788465870692
一 34/4439 = 0.00765938274386
File name: ../wordfreq/9knife/5.txt
的 146/576 = 0.253472222222
我 67/576 = 0.116319444444
了 54/576 = 0.09375
在 29/576 = 0.0503472222222
地 28/576 = 0.0486111111111
人 24/576 = 0.0416666666667
就 22/576 = 0.0381944444444
跟 19/576 = 0.0329861111111
那 17/576 = 0.0295138888889
說 17/576 = 0.0295138888889
你 15/576 = 0.0260416666667
女 14/576 = 0.0243055555556
會 13/576 = 0.0225694444444
也 13/576 = 0.0225694444444
我們 13/576 = 0.0225694444444
都 13/576 = 0.0225694444444
有 12/576 = 0.0208333333333
被 12/576 = 0.0208333333333
裏 12/576 = 0.0208333333333
男子 9/576 = 0.015625
過 9/576 = 0.015625
想 9/576 = 0.015625
什麼 9/576 = 0.015625
File name: ../wordfreq/9knife/6.txt
的 176/814 = 0.216216216216
我 63/814 = 0.0773955773956
棒 61/814 = 0.0749385749386
了 60/814 = 0.0737100737101
在 50/814 = 0.0614250614251
地 31/814 = 0.0380835380835
我們 28/814 = 0.034398034398
就 24/814 = 0.029484029484
說 22/814 = 0.027027027027
也 19/814 = 0.0233415233415
有 17/814 = 0.0208845208845
上 17/814 = 0.0208845208845
都 17/814 = 0.0208845208845
要 13/814 = 0.0159705159705
不 13/814 = 0.0159705159705
那 13/814 = 0.0159705159705
把 13/814 = 0.0159705159705
知道 12/814 = 0.014742014742
很 11/814 = 0.0135135135135
吧 11/814 = 0.0135135135135
被 11/814 = 0.0135135135135
到 11/814 = 0.0135135135135
人 11/814 = 0.0135135135135
又 11/814 = 0.0135135135135
跟 11/814 = 0.0135135135135
好 11/814 = 0.0135135135135
後 10/814 = 0.012285012285
怎麼 10/814 = 0.012285012285
真的 10/814 = 0.012285012285
裏 10/814 = 0.012285012285
File name: ../wordfreq/9knife/7.txt
的 954/4980 = 0.19156626506
我 308/4980 = 0.0618473895582
了 294/4980 = 0.0590361445783
人 157/4980 = 0.0315261044177
在 148/4980 = 0.029718875502
地 134/4980 = 0.0269076305221
我們 118/4980 = 0.0236947791165
說 117/4980 = 0.0234939759036
也 93/4980 = 0.0186746987952
就 87/4980 = 0.0174698795181
你 76/4980 = 0.0152610441767
都 64/4980 = 0.0128514056225
有 63/4980 = 0.0126506024096
那 60/4980 = 0.0120481927711
被 57/4980 = 0.0114457831325
好 57/4980 = 0.0114457831325
上 57/4980 = 0.0114457831325
會 56/4980 = 0.0112449799197
什麼 55/4980 = 0.0110441767068
將 55/4980 = 0.0110441767068
交大 54/4980 = 0.010843373494
大 53/4980 = 0.0106425702811
跟 52/4980 = 0.0104417670683
這 52/4980 = 0.0104417670683
不 51/4980 = 0.0102409638554
裏 48/4980 = 0.00963855421687
一 46/4980 = 0.00923694779116
又 45/4980 = 0.00903614457831
要 40/4980 = 0.00803212851406
沒有 39/4980 = 0.0078313253012
File name: ../wordfreq/9knife/8.txt
的 6080/35829 = 0.169694939853
我 2357/35829 = 0.0657846995451
了 1466/35829 = 0.040916575958
在 1200/35829 = 0.0334924223394
地 590/35829 = 0.0164671076502
你 590/35829 = 0.0164671076502
說 551/35829 = 0.0153786039242
也 503/35829 = 0.0140389070306
那 487/35829 = 0.0135923413994
不 442/35829 = 0.0123363755617
我們 401/35829 = 0.0111920511318
大 393/35829 = 0.0109687683162
上 392/35829 = 0.0109408579642
人 386/35829 = 0.0107733958525
都 370/35829 = 0.0103268302213
就 351/35829 = 0.00979653353429
爺爺 347/35829 = 0.00968489212649
跟 346/35829 = 0.00965698177454
裏 334/35829 = 0.00932205755115
這 316/35829 = 0.00881967121605
將 298/35829 = 0.00831728488096
與 272/35829 = 0.00759161573027
被 270/35829 = 0.00753579502638
沒有 266/35829 = 0.00742415361858
到 266/35829 = 0.00742415361858
什麼 253/35829 = 0.00706131904323
有 231/35829 = 0.00644729130034
知道 226/35829 = 0.0063077395406
會 220/35829 = 0.0061402774289
要 219/35829 = 0.00611236707695
File name: ../wordfreq/9knife/9.txt
的 184/1063 = 0.173095014111
我 181/1063 = 0.170272812794
說 63/1063 = 0.0592662276576
了 52/1063 = 0.0489181561618
就 51/1063 = 0.0479774223895
要 30/1063 = 0.0282220131703
也 30/1063 = 0.0282220131703
可以 28/1063 = 0.0263405456256
在 27/1063 = 0.0253998118532
不 26/1063 = 0.0244590780809
吧 26/1063 = 0.0244590780809
你 25/1063 = 0.0235183443086
有 22/1063 = 0.0206961429915
人 19/1063 = 0.0178739416745
都 19/1063 = 0.0178739416745
這 18/1063 = 0.0169332079022
好 18/1063 = 0.0169332079022
會 17/1063 = 0.0159924741298
那 17/1063 = 0.0159924741298
地 16/1063 = 0.0150517403575
上 15/1063 = 0.0141110065851
很 14/1063 = 0.0131702728128
我們 14/1063 = 0.0131702728128
想 14/1063 = 0.0131702728128
不是 13/1063 = 0.0122295390405
到 12/1063 = 0.0112888052681
跟 12/1063 = 0.0112888052681
當 12/1063 = 0.0112888052681
問 11/1063 = 0.0103480714958
一定 10/1063 = 0.00940733772342
File name: ../wordfreq/9knife/10.txt
的 150/531 = 0.282485875706
了 45/531 = 0.0847457627119
我 43/531 = 0.0809792843691
吃 31/531 = 0.0583804143126
你 22/531 = 0.0414312617702
在 21/531 = 0.0395480225989
地 19/531 = 0.0357815442561
那 18/531 = 0.0338983050847
說 17/531 = 0.0320150659134
哥哥 16/531 = 0.030131826742
裏 16/531 = 0.030131826742
有 15/531 = 0.0282485875706
都 15/531 = 0.0282485875706
也 14/531 = 0.0263653483992
上 12/531 = 0.0225988700565
兄弟 11/531 = 0.0207156308851
將 10/531 = 0.0188323917137
用 10/531 = 0.0188323917137
跟 10/531 = 0.0188323917137
不 9/531 = 0.0169491525424
到 9/531 = 0.0169491525424
人 9/531 = 0.0169491525424
可以 9/531 = 0.0169491525424
File name: ../wordfreq/9knife/11.txt
的 1080/6674 = 0.161821995805
了 339/6674 = 0.0507941264609
我 294/6674 = 0.0440515433024
醫生 211/6674 = 0.0316152232544
在 184/6674 = 0.0275696733593
你 149/6674 = 0.0223254420138
都 126/6674 = 0.0188792328439
就 124/6674 = 0.0185795624813
也 118/6674 = 0.0176805513935
說 105/6674 = 0.0157326940366
不 105/6674 = 0.0157326940366
有 101/6674 = 0.0151333533114
